Sample,Ware,Ab,An,Or,
CA230448,Capulí,46.768761,51.979533,1.251706,
CA230448,Capulí,46.165582,52.578225,1.256194,
CA230449,Capulí,52.667922,45.938301,1.393776,
CA230449,Capulí,58.939757,39.603116,1.457128,
CA230449,Capulí,51.613838,46.730924,1.655238,
CA230449,Capulí,48.588544,49.732717,1.678739,
CA230443,Capulí,54.733253,43.277065,1.989682,
CA230443,Capulí,45.311042,52.575233,2.113725,
CA230443,Capulí,56.625599,41.180696,2.193706,
CA230449,Capulí,56.148218,41.3668,2.484982,
CA230449,Capulí,57.053522,40.306418,2.640061,
CA230443,Capulí,55.787352,41.549095,2.663553,
CA230449,Capulí,61.476711,35.839809,2.68348,
CA230443,Capulí,59.686434,37.643762,2.669804,
CA230443,Capulí,64.738993,32.484175,2.776832,
CA230443,Capulí,61.249288,35.911267,2.839444,
CA230448,Capulí,59.235456,37.957704,2.80684,
CA230449,Capulí,60.128297,36.998756,2.872948,
CA230448,Capulí,58.199989,38.89664,2.903371,
CA230448,Capulí,57.771222,39.20421,3.024569,
CA230443,Capulí,50.075087,46.812158,3.112755,
CA230443,Capulí,60.355076,36.426244,3.21868,
CA230443,Capulí,57.27865,39.518634,3.202716,
CA230448,Capulí,62.375577,34.292374,3.332049,
CA230443,Capulí,59.153018,37.495649,3.351333,
CA230448,Capulí,65.455648,30.961317,3.583036,
CA230448,Capulí,65.567471,30.124077,4.308452,
CA230176,Piartal,54.024207,44.693678,1.282115,
CA230176,Piartal,54.024207,44.693678,1.282115,
CA230176,Piartal,49.148382,49.42912,1.422498,
CA230144,Piartal,68.285193,30.267805,1.447002,
CA230144,Piartal,67.413658,31.132069,1.454273,
CA230176,Piartal,54.802621,43.741616,1.455764,
CA230176,Piartal,54.802621,43.741616,1.455764,
CA230144,Piartal,67.760158,30.430546,1.809296,
CA230439,Piartal,68.199036,30.022077,1.778886,
CA230176,Piartal,53.218979,45.002334,1.778687,
CA230176,Piartal,53.218979,45.002334,1.778687,
CA230176,Piartal,53.984045,44.200412,1.815542,
CA230176,Piartal,53.984045,44.200412,1.815542,
CA230176,Piartal,51.355995,46.61617,2.027834,
CA230439,Piartal,72.55576,25.309298,2.134942,
CA230439,Piartal,70.126135,27.699747,2.174118,
CA230439,Piartal,72.848972,24.925782,2.225246,
CA230439,Piartal,63.430523,34.439186,2.130292,
