Sample,Ware,component,n= (for fabric) or analysis # (for inclusions),SiO2,Na2O,MgO,Al2O3,P2O5,S,K2O,CaO,MnO,FeO,TiO2,PbO,BaO,Zn,V2O5,Ni,Cu*,Ce*,Co*,Sr*,Or,Ab,An
CA230128,red slip,fabric,5,73.8,1.46,0.45,16.41,0,0,1.15,2.37,0,3.68,0.69,0,0,0,0,0,0,0,0,0,0,0,0
CA230129,red slip,fabric,6,70.83,1.33,0.45,16.38,0,0,1.34,2.31,0,6.1,0.88,0,0.39,0,0,0,0,0,0,0,0,0,0
CA230150,Tuza,fabric,5,77.34,2.16,0.97,16.6,0,0,1.07,1.26,0,0.33,0.29,0,0,0,0,0,0,0,0,0,0,0,0
CA230163,Tuza,fabric,10,72.54,1.74,0.42,15.81,0.81,0,1.42,2.06,0.19,4.18,0.83,0,0,0,0,0,0,0,0,0,0,0,0
CA230171,Tuza,fabric,14,73.56,1.49,0.57,14.15,1.2,0,1.74,2.18,0.2,4.03,0.88,0,0,0,0,0,0,0,0,0,0,0,0
CA230172,Tuza,fabric,10,72.69,2.43,1.14,18.11,1.82,0,0.85,1.31,0,1.22,0.43,0,0,0,0,0,0,0,0,0,0,0,0
CA230176,Piartal,fabric,5,71.68,1.13,0.37,17.6,0.93,0,0.92,2.23,0,4.04,1.11,0,0,0,0,0,0,0,0,0,0,0,0
CA230439,Piartal,fabric,6,72.26,1.97,0.76,16.2,2.05,0,1.15,1.65,0,2.96,1.01,0,0,0,0,0,0,0,0,0,0,0,0
CA230443,Capulí,fabric,8,71.81,1.05,0.74,16.12,0.96,0,0.91,2.07,0,5.5,0.84,0,0,0,0,0,0,0,0,0,0,0,0
CA230448,Capulí,fabric,5,65.94,1.61,0.96,20.57,0,0,1.15,2.48,0,6.44,0.84,0,0,0,0,0,0,0,0,0,0,0,0
CA230449,Capulí,fabric,9,68.92,1.53,0.68,18.56,0,0,1.23,2.31,0,5.9,0.87,0,0,0,0,0,0,0,0,0,0,0,0
CA230144,Piartal,fabric ,3,75.88,1.2,0,18.42,0,0,0.79,1.16,0,1.72,0.51,0,0.32,0,0,0,0,0,0,0,0,0,0
CA230128,red slip,feldspar,Spectrum 10,59.27,5.86,0,25.62,0,0,0.81,7.87,0,0.58,0,0,0,0,0,0,0,0,0,0,5.161290323,53.44086022,41.93548387
CA230128,red slip,feldspar,Spectrum 361,58.41,6,0,26.01,0,0,0.77,8.26,0,0.54,0,0,0,0,0,0,0,0,0,0,4.791666667,52.91666667,42.60416667
CA230128,red slip,feldspar,Spectrum 369,59.15,6.66,0,25.81,0,0,0.46,7.59,0,0.32,0,0,0,0,0,0,0,0,0,0,2.783505155,58.1443299,38.7628866
CA230128,red slip,feldspar,Spectrum 371,58.81,7,0,26.04,0,0,0.28,7.6,0,0.27,0,0,0,0,0,0,0,0,0,0,1.717171717,59.8989899,37.97979798
CA230128,red slip,feldspar,Spectrum 372,65.07,2.8,0,19.1,0,0,12.34,0,0,0,0,0,0.69,0,0,0,0,0,0,0,75.25773196,24.43298969,0
CA230128,red slip,feldspar,Spectrum 373,69.05,11.04,0,19.67,0,0,0.13,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0.842105263,98.52631579,0.631578947
CA230128,red slip,feldspar,Spectrum 375,54.54,4.77,0,28.31,0,0,0.24,11.37,0,0.77,0,0,0,0,0,0,0,0,0,0,1.428571429,41.2244898,57.44897959
CA230128,red slip,feldspar,Spectrum 379,59.46,6.76,0,25.8,0,0,0.27,7.43,0,0.28,0,0,0,0,0,0,0,0,0,0,1.666666667,59.6875,38.33333333
CA230128,red slip,feldspar,Spectrum 380,59.22,6.7,0,25.86,0,0,0.39,7.48,0,0.34,0,0,0,0,0,0,0,0,0,0,2.395833333,59.16666667,38.54166667
CA230129,red slip,feldspar,Spectrum 394,57.08,5.78,0,27.35,0,0,0.32,9.26,0,0.22,0,0,0,0,0,0,0,0,0,0,1.958762887,50.51546392,47.21649485
CA230129,red slip,feldspar,Spectrum 395,57.7,6.24,0,26.83,0,0,0.38,8.62,0,0.23,0,0,0,0,0,0,0,0,0,0,2.244897959,53.97959184,43.57142857
CA230129,red slip,feldspar,Spectrum 396,58.55,6.47,0,26.04,0,0,0.41,8.08,0,0.44,0,0,0,0,0,0,0,0,0,0,2.474226804,56.49484536,41.2371134
