sample_id,no_of_analyses,area_of_analysis,laboratory,sample_date,Na2O,MgO,Al2O3,SiO2,P2O5,K2O,CaO,TiO2,MnO,Fe2O3,S,Ni,Zn,Rb,Sr,Y,Zr,Nb,Pb
,,,,,%,%,%,%,%,%,%,%,%,%,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
CA230126,3,cream,University of Cambridge,31/07/2023,,,14.96,63.95,,1.27,1.79,0.86,0.05,4.15,,,37,,485,7,185,15,
CA230126,3,black ,University of Cambridge,31/07/2023,,,15.07,65.6,,1.26,1.78,0.9,0.04,3.87,,,34,,468,8,168,11,56
CA230126,5,fabric,University of Cambridge,31/07/2023,,,17.8,62.37,,1.04,1.81,0.83,0.05,3.3,,,34,47,484,7,197,14,18
CA230126,3,red,University of Cambridge,31/07/2023,,,14.65,57.95,,0.82,1.16,0.97,0.04,5.4,,,39,,430,9,170,11,15
CA230127,3,red,University of Cambridge,31/07/2023,,,17.87,59.63,,0.65,1.14,0.85,0.04,5.71,,,41,,538,7,172,14,
CA230127,5,fabric,University of Cambridge,31/07/2023,,,17.49,59.15,,0.99,1.72,0.74,0.07,4.24,,,42,56,531,8,178,12,17
CA230128,3,red,University of Cambridge,31/07/2023,,,13.52,57.64,,0.65,1.41,1.28,0.04,6.56,,,34,,472,8,132,8,
CA230128,5,fabric,University of Cambridge,31/07/2023,,,18.12,62.81,,1.11,1.99,0.65,0.04,2.59,,17,43,57,474,7,114,8,
CA230129,3,red,University of Cambridge,31/07/2023,,,15.3,55.1,,0.76,1.23,1.25,0.04,7.84,,,31,,502,8,174,17,
CA230129,5,fabric,University of Cambridge,31/07/2023,,,19.29,62.47,,1.2,1.84,0.88,0.04,4.3,,,41,58,545,8,196,14,18
CA230130,3,black ,University of Cambridge,31/07/2023,,,14.13,58.16,,0.79,1.58,0.95,0.05,5.5,,,32,,535,8,225,17,
CA230130,3,red,University of Cambridge,31/07/2023,,1.72,14.19,56.79,,0.74,1.5,1.13,0.04,5.58,,,40,,523,9,214,17,
CA230130,5,fabric,University of Cambridge,31/07/2023,,1.68,18.26,59.3,,1.07,1.84,0.89,0.05,3.12,,,42,54,550,8,200,14,18
CA230131,5,fabric,University of Cambridge,31/07/2023,,,17.39,61.87,,1.04,1.74,0.78,0.04,3.18,,,32,48,475,8,184,16,
CA230131,3,red,University of Cambridge,31/07/2023,,1.71,15.15,63.42,,1.02,1.55,1.08,0.05,4.98,,,33,,471,11,189,15,
CA230131,3,black ,University of Cambridge,31/07/2023,,,12.83,63.11,,1.16,1.61,0.85,0.04,5.66,,,38,,473,9,187,14,
CA230131,3,cream,University of Cambridge,31/07/2023,,,12.48,61.14,,1.1,1.58,0.78,0.04,4.73,,,49,,481,11,186,16,15
CA230132,5,fabric,University of Cambridge,31/07/2023,,1.67,18.32,61.03,,1.21,1.73,0.73,0.04,2.45,,,35,50,457,6,186,18,19
CA230132,3,red,University of Cambridge,31/07/2023,,,14.56,54.16,,0.82,1.42,1.18,0.03,4.7,,,34,,447,8,170,17,16
CA230133,1,black ,University of Cambridge,31/07/2023,,,14.3,68.45,,1.08,2.01,0.85,0.04,3.01,,,47,,465,6,188,13,
CA230133,5,fabric,University of Cambridge,31/07/2023,,,19.37,59.17,,1.01,1.81,0.81,0.04,2.79,,19,56,58,456,7,188,15,16
CA230133,3,red,University of Cambridge,31/07/2023,,,14.24,58.24,,0.75,1.54,1.18,0.03,4.83,,,43,,443,10,190,11,15
CA230134,3,red,University of Cambridge,31/07/2023,,,14.99,58.41,,0.76,1.43,1.39,0.03,4.79,,,34,,476,9,228,21,
CA230134,5,fabric,University of Cambridge,31/07/2023,,1.67,19.99,61.36,,1.04,1.82,1.09,0.04,2.74,,17,45,48,483,8,209,16,
CA230135,5,fabric,University of Cambridge,31/07/2023,,,19.81,65.18,,1.25,1.43,0.9,0.03,2.01,,,47,46,408,6,183,16,17
CA230135,3,red,University of Cambridge,31/07/2023,,,18.12,62.38,,1.29,1.33,1.08,0.04,2.57,,,41,,407,6,179,17,16
CA230136,3,black ,University of Cambridge,31/07/2023,,1.73,14.82,69.13,,1.29,2.38,0.98,0.04,3.42,,,34,,530,8,209,19,16
CA230136,5,fabric,University of Cambridge,31/07/2023,,,21.6,61.12,,1.04,1.84,0.76,0.04,3,,17,39,52,524,6,201,14,16
CA230136,3,cream,University of Cambridge,31/07/2023,,1.71,15.43,68.9,,1.26,2.37,0.89,0.04,3.33,,,37,,547,6,210,19,15
