Test Label,Date,sample,component,rep,Mg Concentration,Al Concentration,Si Concentration,P Concentration,S Concentration,K Concentration,Ca Concentration,Ti Concentration,V Concentration,Cr Concentration,Mn Concentration,Fe Concentration,Co Concentration,Ni Concentration,Cu Concentration,Zn Concentration,As Concentration,Se Concentration,Rb Concentration,Sr Concentration,Y Concentration,Zr Concentration,Nb Concentration,Mo Concentration,Ag Concentration,Cd Concentration,Sn Concentration,Sb Concentration,Ba Concentration,W Concentration,Au Concentration,Hg Concentration,Pb Concentration,Bi Concentration,Th Concentration,U Concentration,LE Concentration
1 [Col],06/06/2023,NIST 2711a,std,rep 1,15406,68395,261002,181,168,25265,23038,2921,78,48,656,29434,<LOD,27,710,378,150,7,119,268,31,281,18,23,40,105,49,125,1076,<LOD,<LOD,10,1378,24,<LOD,<LOD,728608
2 [Col],06/06/2023,NIST 2711a,std,rep 2,15196,68055,257114,177,246,25100,22126,3961,<LOD,39,742,29897,<LOD,33,712,387,135,<LOD,123,263,29,263,16,7,16,76,42,57,1067,<LOD,6,20,1359,<LOD,18,<LOD,731904
3 [Col],06/06/2023,NIST 2711a,std,rep 3,16362,68292,261493,85,245,24998,22349,3169,142,63,657,29356,148,42,699,383,74,4,124,262,29,306,24,<LOD,11,78,82,107,1201,<LOD,5,19,1407,33,<LOD,<LOD,727237
4 [Col],06/06/2023,NIST 2711a,std,rep 4,14584,68798,258313,243,221,25170,22990,3126,186,95,684,28880,<LOD,36,727,341,102,2,121,259,39,310,24,13,14,74,53,132,655,44,<LOD,22,1347,<LOD,22,<LOD,732344
5 [Col],06/06/2023,NIST 2711a,std,rep 5,16346,68521,262451,176,257,25769,22725,2834,<LOD,97,651,29052,122,21,718,398,145,3,120,257,32,294,13,4,39,89,76,140,1241,17,<LOD,14,1353,<LOD,11,4,726108
6 [Col],06/06/2023,NIST 679,std,rep 1,11618,90098,218211,<LOD,<LOD,23642,1554,5272,213,104,1353,91626,218,61,908,108,24,10,178,51,47,170,20,10,43,76,101,126,534,32,<LOD,<LOD,12,<LOD,<LOD,16,706587
7 [Col],06/06/2023,NIST 679,std,rep 2,10844,90719,217962,<LOD,<LOD,23408,1303,5395,240,129,1561,89718,470,41,911,101,19,6,186,45,45,157,20,13,19,50,<LOD,49,<LOD,<LOD,9,8,20,<LOD,30,<LOD,709596
8 [Col],06/06/2023,NIST 679,std,rep 3,11975,90447,217339,<LOD,<LOD,23538,1495,5457,158,78,1457,88786,385,56,952,132,17,6,192,54,36,154,19,14,19,27,26,71,504,17,<LOD,6,17,<LOD,20,<LOD,709443
9 [Col],06/06/2023,NIST 679,std,rep 4,11771,87623,213484,<LOD,<LOD,23108,1492,4604,139,31,1521,90073,195,81,999,108,28,6,196,44,45,166,20,9,31,<LOD,22,<LOD,606,<LOD,<LOD,7,4,<LOD,25,11,715442
10 [Col],06/06/2023,NIST 679,std,rep 5,12112,90489,217735,<LOD,<LOD,23431,1349,5363,138,107,1393,90512,268,55,900,109,21,2,194,53,43,154,17,12,35,30,59,90,1030,57,<LOD,8,16,<LOD,34,<LOD,707007
