date,notes,Standard,Anaslysis number,Na2O,MgO,Al2O3,SiO2,CaO,TiO2,MnO2,FeO,TOTAL
,,,,%,%,%,%,%,%,%,%,%
25/03/2024,measured immediately after Co,BIR-1G,analysis 1,1.67,9.7,15.69,47.92,13.34,0.98,-,10.69,100
25/03/2024,measured immediately after Co,BIR-1G,analysis 2,1.63,9.49,15.53,47.46,13.8,1.06,0.16,10.86,100
25/03/2024,measured immediately after Co,BIR-1G,analysis 3,1.73,9.5,15.59,48.23,13.35,0.98,0.22,10.4,100
25/03/2024,measured immediately after Co,BIR-1G,analysis 4,1.77,9.46,15.48,47.78,13.7,0.92,0.19,10.71,100
25/03/2024,measured immediately after Co,BIR-1G,analysis 5,1.69,9.48,15.46,47.55,13.73,1.03,0.28,10.79,100
27/03/2024,measured long after Co,BIR-1G,analysis 1,1.72,9.41,15.49,47.38,13.83,1.03,0.21,10.93,100
27/03/2024,measured long after Co,BIR-1G,analysis 2,1.75,9.49,15.63,47.75,13.47,1.04,0.21,10.66,100
27/03/2024,measured long after Co,BIR-1G,analysis 3,1.77,9.38,15.37,47.39,13.92,1.02,0.3,10.85,100
27/03/2024,measured long after Co,BIR-1G,analysis 4,1.67,9.42,15.51,47.73,13.74,1.11,0.18,10.63,100
27/03/2024,measured long after Co,BIR-1G,analysis 5,1.72,9.68,15.58,47.89,13.37,1.01,0.13,10.61,100
16/04/2024,morning,BIR-1G,analysis 1,1.78,9.65,15.68,47.79,13.38,0.96,0.2,10.56,100
16/04/2024,morning,BIR-1G,analysis 2,1.73,9.65,15.66,47.73,13.3,1.01,0.3,10.63,100
16/04/2024,morning,BIR-1G,analysis 3,1.77,9.43,15.48,47.85,13.79,1.02,-,10.67,100
16/04/2024,morning,BIR-1G,analysis 4,1.73,9.41,15.63,47.41,13.69,1.03,0.24,10.86,100
16/04/2024,morning,BIR-1G,analysis 5,1.75,9.48,15.55,47.6,13.62,1.03,0.23,10.74,100
16/04/2024,1:30pm,BIR-1G,analysis 1,1.75,9.58,15.64,47.92,13.3,1.04,0.2,10.59,100
16/04/2024,1:30pm,BIR-1G,analysis 2,1.76,9.54,15.66,47.68,13.45,1.03,0.18,10.71,100
16/04/2024,1:30pm,BIR-1G,analysis 3,1.73,9.53,15.58,47.62,13.67,1.02,0.2,10.66,100
16/04/2024,1:30pm,BIR-1G,analysis 4,1.79,9.4,15.52,47.58,13.69,1.07,0.18,10.77,100
16/04/2024,1:30pm,BIR-1G,analysis 5,1.78,9.37,15.56,47.69,13.73,1.07,-,10.79,100
16/04/2024,2:40 (after cobalt),BIR-1G,analysis 1,1.9,9.55,15.62,48.07,13.36,0.97,0.17,10.36,100
16/04/2024,2:40 (after cobalt),BIR-1G,analysis 2,1.79,9.58,15.73,47.66,13.44,0.96,0.25,10.58,100
16/04/2024,2:40 (after cobalt),BIR-1G,analysis 3,1.71,9.59,15.42,47.59,13.59,1.03,0.19,10.87,100
16/04/2024,2:40 (after cobalt),BIR-1G,analysis 4,1.66,9.48,15.44,47.77,13.66,1.05,0.2,10.74,100
16/04/2024,2:40 (after cobalt),BIR-1G,analysis 5,1.69,9.47,15.44,47.73,13.66,1.01,0.2,10.8,100
16/04/2024,4:30pm,BIR-1G,analysis 1,1.79,9.53,15.78,47.74,13.43,1.04,0.19,10.5,100
16/04/2024,4:30pm,BIR-1G,analysis 2,1.75,9.53,15.41,47.86,13.62,1.04,0.15,10.64,100
16/04/2024,4:30pm,BIR-1G,analysis 3,1.79,9.5,15.6,47.66,13.51,1,0.26,10.68,100
16/04/2024,4:30pm,BIR-1G,analysis 4,1.78,9.46,15.48,47.71,13.55,1.01,0.16,10.85,100
16/04/2024,4:30pm,BIR-1G,analysis 5,1.71,9.37,15.57,47.78,13.66,0.99,0.19,10.73,100
19/04/2024,Morning,BIR-1G,analysis 1,1.75,9.68,15.53,47.97,13.36,1.07,0.21,10.43,100
19/04/2024,Morning,BIR-1G,analysis 2,1.74,9.67,15.56,47.85,13.52,0.99,0.22,10.45,100
19/04/2024,Morning,BIR-1G,analysis 3,1.79,9.41,15.56,47.73,13.66,1.01,0.22,10.62,100
19/04/2024,Morning,BIR-1G,analysis 4,1.75,9.48,15.48,47.63,13.61,1.08,0.26,10.71,100
19/04/2024,Morning,BIR-1G,analysis 5,1.71,9.41,15.56,47.73,13.61,1.05,0.19,10.75,100
19/04/2024,4:00pm,BIR-1G,analysis 1,1.74,9.45,15.83,47.9,13.29,1.04,0.19,10.56,100
19/04/2024,4:00pm,BIR-1G,analysis 2,1.7,9.53,15.72,47.92,13.35,1.06,0.22,10.5,100
19/04/2024,4:00pm,BIR-1G,analysis 3,1.65,9.5,15.52,47.69,13.58,1.06,0.26,10.74,100
19/04/2024,4:00pm,BIR-1G,analysis 4,1.68,9.47,15.54,47.7,13.69,1.05,0.2,10.68,100
19/04/2024,4:00pm,BIR-1G,analysis 5,1.69,9.41,15.52,47.72,13.6,1.04,0.18,10.84,100
19/04/2024,4:40pm,BIR-1G,analysis 1,1.75,9.38,15.48,47.7,13.68,1.03,0.22,10.76,100
19/04/2024,4:40pm,BIR-1G,analysis 2,1.76,9.4,15.38,47.82,13.75,1.02,0.21,10.67,100
19/04/2024,4:40pm,BIR-1G,analysis 3,1.62,9.32,15.49,47.46,14.21,0.95,0,10.96,100
19/04/2024,4:40pm,BIR-1G,analysis 4,1.67,9.19,15.41,47.48,13.93,1.11,0.19,11.02,100
19/04/2024,4:40pm,BIR-1G,analysis 5,1.71,9.19,15.36,47.42,13.96,1.06,0.23,11.06,100
