CA Number,ID,Collection,Site,context,tomb,material,Ware?,vessel form,pXRF,3D scanned object,Raman Spectroscopy,SEM-EDS
CA230128,,San Damián,San Damián,"Polígono B III, Rasgo 198, Acumulacion 60",,ceramic ,red slip,fragment,Yes,No,Yes,Yes
CA230129,,San Damián,San Damián,"Polígono B III, Rasgo 198, Acumulacion 60",,ceramic ,red slip,fragment,Yes,No,Yes,Yes
CA230144,,San Damián,San Damián,"Polígono B III W, Rasgo 189, Acumulacion 54",,ceramic ,Piartal ,fragment,Yes,No,Yes,Yes
CA230163,,San Damián,San Damián,"Canchas, Rasgo 74",39,ceramic ,Tuza,fragment,Yes,No,Yes,Yes
CA230171,,San Damián,San Damián,"Canchas, Rasgo 74",39,ceramic ,Tuza,fragment,Yes,No,Yes,Yes
CA230172,,San Damián,San Damián,"Canchas, Rasgo 74",39,ceramic ,Tuza,fragment,Yes,No,Yes,Yes
CA230439,CVUS_596a,Union del Sur,Site 8 - Catambuco,,,ceramic ,Piartal,fragment,Yes,No,Yes,Yes
CA230443,CVUS_374,Union del Sur,"Site 137 - Porvenir, Iles ",Deslizamiento,LS T1,ceramic ,Capulí,fragment,Yes,No,Yes,Yes
CA230448,CVUS_392a,Union del Sur,"Site 137 - Porvenir, Iles ",Deslizamiento,LS T3,ceramic ,Capulí,fragment,Yes,No,Yes,Yes
CA230449,CVUS_392b,Union del Sur,"Site 137 - Porvenir, Iles ",Deslizamiento,LS T3,ceramic ,Capulí,fragment,Yes,No,Yes,Yes
CA230150,,San Damián,San Damián,"Polígono B III W, Rasgo 188, Acumulacion 53",,ceramic ,Tuza,fragment,Yes,No,No,Yes
CA230176,,San Damián,San Damián,"Polígono B, Rasgo 50",28,ceramic ,Piartal,fragment,Yes,No,No,Yes
CA230141,,San Damián,San Damián,"Polígono B III W, Rasgo 156, Acumulacion 29",,ceramic ,Piartal,fragment,Yes,No,Yes,No
CA230165,,San Damián,San Damián,"Canchas, Rasgo 74",39,ceramic ,red slip,fragment,Yes,No,Yes,No
CA230126,,San Damián,San Damián,"Polígono B III, Rasgo 198, Acumulacion 60",,ceramic ,Piartal ,fragment,Yes,No,No,No
CA230127,,San Damián,San Damián,"Polígono B III, Rasgo 198, Acumulacion 60",,ceramic ,red slip,fragment,Yes,No,No,No
CA230130,,San Damián,San Damián,"Polígono B III, Rasgo 198, Acumulacion 60",,ceramic ,Piartal?,fragment,Yes,No,No,No
CA230131,,San Damián,San Damián,"Polígono B III, Rasgo 198, Acumulacion 60",,ceramic ,Piartal,fragment,Yes,No,No,No
CA230132,,San Damián,San Damián,"Polígono B III, Rasgo 198, Acumulacion 60",,ceramic ,red slip,fragment,Yes,No,No,No
CA230133,,San Damián,San Damián,"Polígono B III W, Rasgo 155, Acumulacion 30",,ceramic ,red slip,fragment,Yes,No,No,No
CA230134,,San Damián,San Damián,"Polígono B III W, Rasgo 155, Acumulacion 30",,ceramic ,red slip,fragment,Yes,No,No,No
CA230135,,San Damián,San Damián,"Polígono B III W, Rasgo 155, Acumulacion 30",,ceramic ,red slip,fragment,Yes,No,No,No
CA230136,,San Damián,San Damián,"Polígono B III W, Rasgo 155, Acumulacion 30",,ceramic ,Piartal,fragment,Yes,No,No,No
CA230137,,San Damián,San Damián,"Polígono B III W, Rasgo 155, Acumulacion 30",,ceramic ,Piartal? ,fragment,Yes,No,No,No
CA230138,,San Damián,San Damián,"Polígono B III W, Rasgo 155, Acumulacion 30",,ceramic ,red slip,fragment,Yes,No,No,No
CA230139,,San Damián,San Damián,"Polígono B III W, Rasgo 155, Acumulacion 30",,ceramic ,Piartal ,fragment,Yes,No,No,No
CA230140,,San Damián,San Damián,"Polígono B III W, Rasgo 156, Acumulacion 29",,ceramic ,Tuza,fragment,Yes,No,No,No
CA230142,,San Damián,San Damián,"Polígono B III W, Rasgo 189, Acumulacion 54",,ceramic ,Piartal,fragment,Yes,No,No,No
CA230143,,San Damián,San Damián,"Polígono B III W, Rasgo 189, Acumulacion 54",,ceramic ,Piartal ,fragment,Yes,No,No,No
CA230145,,San Damián,San Damián,"Polígono B III W, Rasgo 189, Acumulacion 54",,ceramic ,Piartal ,fragment,Yes,No,No,No
CA230146,,San Damián,San Damián,"Polígono B III W, Rasgo 189, Acumulacion 54",,ceramic ,Piartal ,fragment,Yes,No,No,No
CA230147,,San Damián,San Damián,"Polígono B III, Rasgo 198, Acumulacion 60",,ceramic ,undecorated,fragment,Yes,No,No,No
CA230148,,San Damián,San Damián,"Polígono B III, Rasgo 198, Acumulacion 60",,ceramic ,undecorated,fragment,Yes,No,No,No
CA230149,,San Damián,San Damián,"Polígono B III, Rasgo 198, Acumulacion 60",,ceramic ,undecorated,fragment,Yes,No,No,No
CA230151,,San Damián,San Damián,"Polígono B III W, Rasgo 188, Acumulacion 53",,ceramic ,red slip,fragment,Yes,No,No,No
CA230152,,San Damián,San Damián,"Polígono B III W, Rasgo 188, Acumulacion 53",,ceramic ,red slip,fragment,Yes,No,No,No
CA230153,,San Damián,San Damián,"Polígono B III W, Rasgo 188, Acumulacion 53",,ceramic ,undecorated,fragment,Yes,No,No,No
CA230154,,San Damián,San Damián,"Polígono B III W, Rasgo 188, Acumulacion 53",,ceramic ,undecorated,fragment,Yes,No,No,No
