Sample,Collection,Ware,tomb,component,MgO,Al2O3,SiO2,K2O,CaO,Fe2O3,Mg,Al,Si,K,Ca,Fe,Ti,Mn,Ni,Zn,Rb,Sr,Y,Zr,Nb,Pb
CA230126,San Damián,Piartal ,,black ,,,,,,,<LOD,79763,306645,10489,12726,27075,5368,325,9,34,,468,8,168,11,56
CA230126,San Damián,Piartal ,,cream,,,,,,,<LOD,79189,298918,10510,12795,29056,5140,397,9,37,,485,7,185,15,10
CA230126,San Damián,Piartal ,,fabric,<LOD,17.8,62.37,1.04,1.81,3.3,<LOD,94203,291529,8671,12914,23061,5002,380,<LOD,34,47,484,7,197,14,18
CA230126,San Damián,Piartal ,,red,,,,,,,<LOD,77543,270874,6839,8317,37782,5836,319,<LOD,39,,430,9,170,11,15
CA230127,San Damián,red slip,,fabric,<LOD,17.49,59.15,0.99,1.72,4.24,<LOD,92547,276469,8203,12291,29677,4449,546,<LOD,42,56,531,8,178,12,17
CA230127,San Damián,red slip,,red,,,,,,,<LOD,94577,278734,5388,8175,39972,5112,294,<LOD,41,,538,7,172,14,10
CA230128,San Damián,red slip,,fabric,<LOD,18.12,62.81,1.11,1.99,2.59,<LOD,95919,293609,9203,14254,18099,3900,321,17,43,57,474,7,114,8,<LOD
CA230128,San Damián,red slip,,red,,,,,,,<LOD,71546,269421,5420,10059,45910,7664,342,<LOD,34,,472,8,132,8,8
CA230129,San Damián,red slip,,fabric,<LOD,19.29,62.47,1.2,1.84,4.3,<LOD,102113,291992,9934,13138,30106,5248,336,<LOD,41,58,545,8,196,14,18
CA230129,San Damián,red slip,,red,,,,,,,<LOD,80984,257545,6321,8782,54868,7493,310,<LOD,31,,502,8,174,17,11
CA230130,San Damián,Piartal,,black ,,,,,,,<LOD,74762,271843,6545,11324,38485,5720,365,<LOD,32,,535,8,225,17,10
CA230130,San Damián,Piartal,,fabric,1.68,18.26,59.3,1.07,1.84,3.12,10126,96643,277200,8918,13126,21816,5329,372,<LOD,42,54,550,8,200,14,18
CA230130,San Damián,Piartal,,red,,,,,,,10374,75127,265434,6114,10687,38998,6750,340,<LOD,40,,523,9,214,17,10
CA230131,San Damián,Piartal,,black ,,,,,,,<LOD,67923,294994,9631,11475,39609,5116,283,<LOD,38,,473,9,187,14,13
